%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1508712035080009308,data,1,4,0,188.747421265,-459.488677979,-0.21154011786,-0.691845834255
1508712035089571004,data,1,4,0,188.745788574,-459.48840332,-0.206501841545,-0.677222847939
1508712035101507161,data,1,4,0,188.744827271,-459.48815918,-0.203423798084,-0.668310046196
1508712035109006902,data,1,4,0,188.744262695,-459.487915039,-0.20134973526,-0.662936806679
1508712035131009554,data,1,4,0,188.743942261,-459.487762451,-0.199972599745,-0.659695744514
1508712035143384988,data,1,4,0,188.743743896,-459.487609863,-0.199131771922,-0.65772074461
1508712035144189531,data,1,4,0,188.743637085,-459.487518311,-0.198618426919,-0.656517326832
1508712035163758607,data,1,4,0,188.74357605,-459.487457275,-0.198279410601,-0.6557918787
1508712035163944027,data,1,4,0,188.743530273,-459.487426758,-0.198089525104,-0.65534478426
1508712035174829856,data,1,4,0,188.743515015,-459.48739624,-0.197973608971,-0.655072391033
1508712035182682050,data,1,4,0,188.743499756,-459.487365723,-0.197903424501,-0.654906332493
1508712035192315570,data,1,4,0,188.743499756,-459.487365723,-0.197860583663,-0.654805183411
1508712035204537044,data,1,4,0,188.743347168,-459.653503418,-0.212277159095,-0.704585850239
1508712035216340543,data,1,4,0,188.743148804,-459.755126953,-0.221064612269,-0.734241008759
1508712035223020845,data,1,4,0,188.742980957,-459.817230225,-0.226162284613,-0.75197404623
1508712035232499207,data,1,4,0,188.742843628,-459.855224609,-0.228955313563,-0.76261985302
1508712035239492951,data,1,4,0,188.742736816,-459.878448486,-0.230657324195,-0.768951535225
1508712035253763984,data,1,4,0,188.742660522,-459.892669678,-0.231694415212,-0.772714734077
1508712035259662765,data,1,4,0,188.742614746,-459.90133667,-0.231921777129,-0.775070726871
1508712035273806140,data,1,4,0,188.742584229,-459.906646729,-0.232060179114,-0.776470839977
1508712035279183039,data,1,4,0,188.74256897,-459.909881592,-0.231613278389,-0.777460217476
1508712035293895901,data,1,4,0,188.74256897,-459.911865234,-0.231340795755,-0.778049826622
1508712035301041418,data,1,4,0,188.74256897,-459.913085938,-0.230683371425,-0.778546214104
1508712035314188165,data,1,4,0,188.74256897,-459.913848877,-0.230282634497,-0.77884376049
1508712035321419152,data,1,4,0,188.742660522,-459.9140625,-0.223360285163,-0.757961392403
1508712035330579645,data,1,4,0,188.742752075,-459.9140625,-0.218819409609,-0.745324969292
1508712035342344914,data,1,4,0,188.742843628,-459.913970947,-0.216051772237,-0.737621963024
1508712035351215455,data,1,4,0,188.742919922,-459.913879395,-0.21411255002,-0.733000338078
1508712035375926687,data,1,4,0,188.742980957,-459.913787842,-0.212930738926,-0.73018348217
1508712035406295655,data,1,4,0,188.743026733,-459.913696289,-0.212177142501,-0.728476464748
1508712035411954120,data,1,4,0,188.742904663,-459.914154053,-0.226086035371,-0.775539934635
1508712035418320563,data,1,4,0,188.742736816,-459.914764404,-0.23456415534,-0.804227054119
1508712035418521035,data,1,4,0,188.74256897,-459.915313721,-0.239731565118,-0.821711719036
1508712035429230195,data,1,4,0,188.742446899,-459.915771484,-0.243140980601,-0.832291722298
1508712035436137532,data,1,4,0,188.742340088,-459.916137695,-0.245218738914,-0.838739156723
1508712035443889203,data,1,4,0,188.742248535,-459.916381836,-0.246791392565,-0.842578113079
1508712035457713772,data,1,4,0,188.7421875,-459.916564941,-0.247749701142,-0.844917178154
1508712035469238100,data,1,4,0,188.742141724,-459.916687012,-0.249102637172,-0.846115410328
1508712035476386325,data,1,4,0,188.742095947,-459.916778564,-0.249927163124,-0.846845328808
1508712035482906573,data,1,4,0,188.74206543,-459.9168396,-0.250429600477,-0.847289919853
1508712035493038903,data,1,4,0,188.742050171,-459.916870117,-0.250735759735,-0.84756064415
1508712035493826518,data,1,4,0,188.742034912,-459.916900635,-0.250922292471,-0.847725570202
1508712035500985941,data,1,4,0,188.742294312,-459.915985107,-0.225060254335,-0.759180366993
1508712035515717867,data,1,4,0,188.742630005,-459.914794922,-0.209526389837,-0.705140054226
1508712035535156108,data,1,4,0,188.742935181,-459.913726807,-0.200369909406,-0.672109782696
1508712035535262984,data,1,4,0,188.74319458,-459.912841797,-0.194789543748,-0.651979625225
1508712035548894269,data,1,4,0,188.743377686,-459.91217041,-0.191707864404,-0.63961648941
